FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Panama,2020-04-03 22:46:20,8.538,-80.7821,1475,37,10,1428,Panama
,,,Papua New Guinea,2020-04-03 22:46:20,-6.314993,143.95555,1,0,0,1,Papua New Guinea
,,,Paraguay,2020-04-03 22:46:20,-23.4425,-58.4438,92,3,6,83,Paraguay
,,,Peru,2020-04-03 22:46:20,-9.19,-75.0152,1595,61,537,997,Peru
,,,Philippines,2020-04-03 22:46:20,12.879721,121.774017,3018,136,52,2830,Philippines
,,,Poland,2020-04-03 22:46:20,51.9194,19.1451,3383,71,56,3256,Poland
,,,Portugal,2020-04-03 22:46:20,39.3999,-8.2245,9886,246,68,9572,Portugal
,,,Qatar,2020-04-03 22:46:20,25.3548,51.1839,1075,3,93,979,Qatar
,,,Romania,2020-04-03 22:46:20,45.9432,24.9668,3183,133,283,2767,Romania
,,,Russia,2020-04-03 22:46:20,61.52401,105.318756,4149,34,281,3834,Russia
,,,Rwanda,2020-04-03 22:46:20,-1.9403,29.8739,89,0,0,89,Rwanda
,,,Saint Kitts and Nevis,2020-04-03 22:46:20,17.357822,-62.782998,9,0,0,9,Saint Kitts and Nevis
,,,Saint Lucia,2020-04-03 22:46:20,13.9094,-60.9789,13,0,1,12,Saint Lucia
,,,Saint Vincent and the Grenadines,2020-04-03 22:46:20,12.9843,-61.2872,3,0,1,2,Saint Vincent and the Grenadines
,,,San Marino,2020-04-03 22:46:20,43.9424,12.4578,245,30,21,194,San Marino
,,,Saudi Arabia,2020-04-03 22:46:20,23.885942,45.079162,2039,25,351,1663,Saudi Arabia
,,,Senegal,2020-04-03 22:46:20,14.4974,-14.4524,207,1,66,140,Senegal
,,,Serbia,2020-04-03 22:46:20,44.0165,21.0059,1476,39,0,1437,Serbia
,,,Seychelles,2020-04-03 22:46:20,-4.6796,55.492,10,0,0,10,Seychelles
,,,Sierra Leone,2020-04-03 22:46:20,8.460555,-11.779889,2,0,0,2,Sierra Leone
,,,Singapore,2020-04-03 22:46:20,1.2833,103.8333,1114,5,282,827,Singapore
